"Station Number","DWR Regional Office*","Name","County","lat","lng","Elevation","Status","Connect Date","Disconnect Date"
143,"SCRO","San Juan Valley","San Benito",36.822926,-121.46793400000001,268,"Active","1/1/1998","Active"
144,"NCRO","Petaluma","Sonoma",38.266428000000005,-122.616464,97,"Active","8/25/1999","Active"
145,"SCRO","Madera","Madera",37.016528,-120.18639399999999,230,"Inactive","5/13/1998","3/27/2013"
146,"SCRO","Belridge","Kern",35.505833,-119.691144,410,"Active","10/9/1998","Active"
147,"SRO","Otay Lake","San Diego",32.628208,-116.93928100000001,580,"Active","4/15/1999","Active"
148,"SCRO","Merced","Merced",37.314139000000004,-120.3867,200,"Active","1/4/1999","Active"
149,"NCRO","Oakland Foothills","Alameda",37.780653,-122.18015,145,"Inactive","3/25/1999","8/13/2013"
150,"SRO","Miramar","San Diego",32.885847,-117.143142,445,"Active","4/23/1999","Active"
151,"SRO","Ripley","Riverside",33.532222,-114.633889,251,"Active","12/19/1998","Active"
152,"SRO","Camarillo","Ventura",34.219386,-118.99243899999999,130,"Active","1/21/2000","Active"
153,"SRO","Escondido SPV","San Diego",33.08105,-116.975697,390,"Active","2/1/1999","Active"
154,"SRO","Salton Sea North","Riverside",33.549,-115.916,-200,"Inactive","10/15/1998","10/30/2003"
155,"NCRO","Bryte (Experimental)","Yolo",38.599158,-121.540406,40,"Active","12/10/1998","Active"
156,"SRO","Oxnard","Ventura",34.233639000000004,-119.196922,48,"Inactive","10/12/2001","4/27/2017"
157,"NCRO","Point San Pedro","Marin",37.995478000000006,-122.467656,5,"Active","10/11/2002","Active"
158,"NCRO","Bennett Valley","Sonoma",38.419439000000004,-122.65871899999999,270,"Active","10/1/2000","Active"
159,"SRO","Monrovia","Los Angeles",34.146372,-117.98579699999999,595,"Active","10/15/1999","Active"
160,"SRO","San Luis Obispo West","San Luis Obispo",35.335267,-120.735652,285,"Active","11/1/2000","Active"
161,"SCRO","Patterson","Stanislaus",37.438944,-121.13851100000001,183,"Active","8/23/1999","Active"
162,"SRO","Indio","Riverside",33.746,-116.258,40,"Inactive","12/24/1999","2/26/2006"
163,"SRO","Atascadero","San Luis Obispo",35.472556,-120.64814199999999,885,"Active","11/21/2000","Active"
164,"NCRO","Valley of the Moon","Sonoma",38.312,-122.499,155,"Inactive","4/1/2000","12/18/2001"
165,"SRO","Sisquoc","Santa Barbara",34.841878,-120.212736,536,"Active","4/26/2000","Active"
166,"NCRO","Lodi West","San Joaquin",38.129641,-121.386323,11,"Inactive","9/13/2000","3/20/2015"
167,"NCRO","Tracy","San Joaquin",37.725881,-121.475517,82,"Inactive","9/1/2001","5/31/2017"
168,"SCRO","Denair","Stanislaus",37.552921999999995,-120.77928500000002,140,"Inactive","8/28/2002","4/9/2009"
169,"SCRO","Porterville","Tulare",36.082271999999996,-119.09317800000001,400,"Active","8/2/2000","Active"
170,"NCRO","Concord","Contra Costa",38.015372,-122.020278,35,"Active","4/6/2001","Active"
171,"NCRO","Union City","Alameda",37.598758000000004,-122.053233,16,"Active","2/5/2001","Active"
172,"SCRO","Lost Hills NW","Kern",35.734,-119.749,225,"Inactive","7/26/2000","7/1/2003"
173,"SRO","Torrey Pines","San Diego",32.901866999999996,-117.25045800000001,335,"Active","11/29/2000","Active"
174,"SRO","Long Beach","Los Angeles",33.798697,-118.094792,17,"Active","9/22/2000","Active"
175,"SRO","Palo Verde II","Imperial",33.383070000000004,-114.719385,230,"Active","1/11/2001","Active"
176,"SRO","La Quinta","Riverside",33.686,-116.306,42,"Inactive","11/10/2000","9/26/2006"
177,"SCRO","Watsonville West","Santa Cruz",36.9,-121.81299999999999,212,"Inactive","11/30/2000","3/22/2006"
178,"NCRO","Moraga","Contra Costa",37.837614,-122.140739,510,"Active","2/27/2002","Active"
179,"SRO","Winchester","Riverside",33.663325,-117.093383,1452,"Active","2/7/2002","Active"
180,"SRO","Westmorland West","Imperial",33.124,-115.803,-218,"Inactive","11/8/2001","7/21/2003"
181,"SRO","Westmorland North","Imperial",33.080733,-115.6857,-200,"Active","4/1/2004","Active"
182,"SCRO","Delano","Tulare",35.833059000000006,-119.25584599999999,300,"Active","3/21/2002","Active"
183,"SRO","Owens Lake North","Inyo",36.488468,-117.919428,3558,"Active","12/16/2002","Active"
184,"SRO","San Diego II","San Diego",32.72948,-117.13948799999999,255,"Active","3/1/2002","Active"
185,"SRO","UC-Mex","Imperial",32.411,-115.197,39,"Inactive","1/18/2002","8/28/2002"
186,"SRO","UC-San Luis","Imperial",32.492658,-114.82616399999999,93,"Inactive","4/16/2002","1/25/2016"
187,"NCRO","Black Point ","Marin",38.090933,-122.526703,1,"Active","6/1/2003","Active"
188,"SCRO","Madera II","Madera",37.01676,-120.148802,242,"Active","3/27/2013","Active"
189,"SRO","Owens Lake South","Inyo",36.358628,-117.94386899999999,3564,"Active","4/1/2003","Active"
190,"SCRO","Five Points South West","Fresno",36.382028000000005,-120.22985,270,"Active","7/2/2003","Active"
191,"NCRO","Pleasanton","Alameda",37.663969,-121.885033,335,"Active","5/1/2004","Active"
192,"SRO","Lake Arrowhead","San Bernardino",34.25598,-117.21846299999999,5148,"Active","3/20/2004","Active"
193,"SCRO","Pacific Grove","Monterey",36.63324,-121.93484699999999,38,"Active","10/26/2011","Active"
194,"SCRO","Oakdale","Stanislaus",37.720739,-120.852101,183,"Active","11/2/2004","Active"
195,"NCRO","Auburn","Placer",38.887603000000006,-121.10290800000001,935,"Active","2/16/2005","Active"
196,"NCRO","Esparto","Yolo",38.691786,-122.01380800000001,174,"Inactive","4/15/2005","7/15/2017"
197,"SRO","Palmdale","Los Angeles",34.614981,-118.03249199999999,2550,"Active","4/6/2005","Active"
198,"SRO","Santa Paula","Ventura",34.324639000000005,-119.104875,218,"Active","3/30/2005","Active"
199,"SRO","Big Bear Lake","San Bernardino",34.237645,-116.865853,6910,"Active","7/19/2005","Active"
200,"SRO","Indio II","Riverside",33.748585999999996,-116.252903,40,"Active","5/16/2006","Active"
